age,sex,citizen,hispan,n
19,male,born abroad of american parents,not hispanic,195
19,male,born abroad of american parents,mexican,40
19,male,born abroad of american parents,puerto rican,15
19,male,born abroad of american parents,other,19
19,male,naturalized citizen,not hispanic,370
19,male,naturalized citizen,mexican,55
19,male,naturalized citizen,puerto rican,9
19,male,naturalized citizen,cuban,16
19,male,naturalized citizen,other,69
19,female,born abroad of american parents,not hispanic,195
19,female,born abroad of american parents,mexican,34
19,female,born abroad of american parents,puerto rican,4
19,female,born abroad of american parents,cuban,2
19,female,born abroad of american parents,other,28
19,female,naturalized citizen,not hispanic,361
19,female,naturalized citizen,mexican,58
19,female,naturalized citizen,puerto rican,3
19,female,naturalized citizen,cuban,17
19,female,naturalized citizen,other,77
20,male,born abroad of american parents,not hispanic,188
20,male,born abroad of american parents,mexican,28
20,male,born abroad of american parents,puerto rican,7
20,male,born abroad of american parents,cuban,1
20,male,born abroad of american parents,other,25
20,male,naturalized citizen,not hispanic,355
20,male,naturalized citizen,mexican,69
20,male,naturalized citizen,puerto rican,3
20,male,naturalized citizen,cuban,14
20,male,naturalized citizen,other,84
20,female,born abroad of american parents,not hispanic,200
20,female,born abroad of american parents,mexican,24
20,female,born abroad of american parents,puerto rican,6
20,female,born abroad of american parents,other,36
20,female,naturalized citizen,not hispanic,380
20,female,naturalized citizen,mexican,51
20,female,naturalized citizen,cuban,16
20,female,naturalized citizen,other,56
21,male,born abroad of american parents,not hispanic,155
21,male,born abroad of american parents,mexican,37
21,male,born abroad of american parents,puerto rican,7
21,male,born abroad of american parents,cuban,4
21,male,born abroad of american parents,other,27
21,male,naturalized citizen,not hispanic,375
21,male,naturalized citizen,mexican,83
21,male,naturalized citizen,puerto rican,1
21,male,naturalized citizen,cuban,26
21,male,naturalized citizen,other,95
21,female,born abroad of american parents,not hispanic,161
21,female,born abroad of american parents,mexican,28
21,female,born abroad of american parents,puerto rican,7
21,female,born abroad of american parents,cuban,6
21,female,born abroad of american parents,other,19
21,female,naturalized citizen,not hispanic,410
21,female,naturalized citizen,mexican,62
21,female,naturalized citizen,cuban,8
21,female,naturalized citizen,other,68
22,male,born abroad of american parents,not hispanic,168
22,male,born abroad of american parents,mexican,31
